Date; Time;  [S];  [S]; Zustand [N]; ROST [N]; Kesseltemp [N]; Abgastemp. [N]; Abgas. SW  [N]; KessStellGr [N]; Saugzug   [N]; Zuluftgebl [N]; Einschub [N]; Fuellst.: [N]; Feuerraumt [N]; Puffert.ob [N]; Puffert.un [N]; Puffer Pu. [N]; Außentemp [N]; Vorlauft.1sw [N]; Vorlauft.1 [N]; Vorlauft.2sw [N]; Vorlauft.2 [N]; KTY6_H2 [N]; KTY7_H2 [N]; Brenn.ST [N]; Laufzeit: [N]; Boardtemp. [N]; Die Kesseltemp. soll sein [N]; 
2022-11-08; 00:00:05; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 30°; 30°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:00:15; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 30°; 30°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:00:25; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 30°; 30°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:00:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 30°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:00:45; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 29°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:00:55; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 29°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:01:05; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 29°; 30°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:01:15; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 29°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:01:25; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:01:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:01:45; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:01:55; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:02:05; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:02:15; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:02:25; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:02:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:02:45; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:02:55; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:03:05; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:03:15; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:03:25; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:03:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:03:45; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:03:55; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:04:05; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:04:15; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:04:25; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 250°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:04:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 120°; 56%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:04:45; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 121°; 61%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:04:55; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 121°; 65%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:05:05; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 122°; 69%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:05:15; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 123°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:05:25; übergangsbetr.;   Brenner Aus  ; 1; 0; 66°; 54°; 124°; 71%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
2022-11-08; 00:05:35; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 54°; 64°; 10%; 0%; 0%; 0%; 78.5%; 401°; 72°; 26°; 0%; 2°; 28°; 29°; 36°; 36°; 127°; 127°; 10468; 15889h; 32°; 75°; 
