Date; Time;  [S];  [S]; Zustand [N]; ROST [N]; Kesseltemp [N]; Abgastemp. [N]; Abgas. SW  [N]; KessStellGr [N]; Saugzug   [N]; Zuluftgebl [N]; Einschub [N]; Fuellst.: [N]; Feuerraumt [N]; Puffert.ob [N]; Puffert.un [N]; Puffer Pu. [N]; Außentemp [N]; Vorlauft.1sw [N]; Vorlauft.1 [N]; Vorlauft.2sw [N]; Vorlauft.2 [N]; KTY6_H2 [N]; KTY7_H2 [N]; Brenn.ST [N]; Laufzeit: [N]; Boardtemp. [N]; Die Kesseltemp. soll sein [N]; 
2022-11-09; 00:03:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 51°; 61°; 69%; 0%; 0%; 0%; 87.5%; 400°; 50°; 25°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:03:46; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 51°; 61°; 69%; 0%; 0%; 0%; 87.5%; 400°; 50°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:03:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 51°; 61°; 69%; 0%; 0%; 0%; 87.5%; 400°; 50°; 25°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:04:06; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 51°; 61°; 69%; 0%; 0%; 0%; 87.5%; 400°; 50°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:04:16; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 51°; 61°; 68%; 0%; 0%; 0%; 87.5%; 400°; 50°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:04:26; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 50°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:04:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 51°; 61°; 69%; 0%; 0%; 0%; 87.5%; 400°; 50°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:04:46; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 50°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:04:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 50°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:05:06; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 50°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:05:16; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 50°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:05:26; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 49°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:05:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 49°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:05:46; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 49°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
2022-11-09; 00:05:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 60°; 50°; 60°; 68%; 0%; 0%; 0%; 87.5%; 400°; 49°; 24°; 0%; 4°; 28°; 29°; 36°; 36°; 127°; 127°; 10471; 15894h; 33°; 75°; 
