Date; Time;  [S];  [S]; Zustand [N]; ROST [N]; Kesseltemp [N]; Abgastemp. [N]; Abgas. SW  [N]; KessStellGr [N]; Saugzug   [N]; Zuluftgebl [N]; Einschub [N]; Fuellst.: [N]; Feuerraumt [N]; Puffert.ob [N]; Puffert.un [N]; Puffer Pu. [N]; Außentemp [N]; Vorlauft.1sw [N]; Vorlauft.1 [N]; Vorlauft.2sw [N]; Vorlauft.2 [N]; KTY6_H2 [N]; KTY7_H2 [N]; Brenn.ST [N]; Laufzeit: [N]; Boardtemp. [N]; Die Kesseltemp. soll sein [N]; 
2022-11-10; 00:00:07; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 56°; 66°; 28%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 28°; 28°; 33°; 32°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:00:17; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 56°; 66°; 29%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 27°; 28°; 33°; 34°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:00:27; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 56°; 66°; 29%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 27°; 28°; 33°; 36°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:00:37; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 56°; 66°; 30%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 27°; 27°; 33°; 38°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:00:47; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 56°; 66°; 30%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 26°; 27°; 33°; 40°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:00:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 56°; 66°; 31%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 26°; 27°; 33°; 41°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:01:07; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 56°; 66°; 31%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 26°; 27°; 33°; 42°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:01:17; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 56°; 66°; 32%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 26°; 27°; 33°; 44°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:01:27; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 56°; 66°; 33%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 26°; 27°; 33°; 46°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:01:37; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 56°; 66°; 33%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 26°; 27°; 33°; 46°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:01:47; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 56°; 66°; 34%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 26°; 27°; 33°; 47°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:01:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 56°; 66°; 34%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 26°; 27°; 33°; 47°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:02:07; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 56°; 66°; 35%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 26°; 27°; 33°; 47°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:02:17; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 56°; 66°; 35%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 26°; 27°; 33°; 47°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:02:27; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 56°; 66°; 36%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 26°; 27°; 33°; 46°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:02:37; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 55°; 65°; 36%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 26°; 27°; 33°; 44°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:02:47; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 55°; 65°; 37%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 26°; 27°; 33°; 42°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:02:57; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 55°; 65°; 38%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 26°; 27°; 33°; 40°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:03:07; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 55°; 65°; 38%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 26°; 27°; 33°; 38°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:03:17; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 55°; 65°; 39%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 26°; 27°; 33°; 38°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:03:26; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 55°; 65°; 39%; 0%; 0%; 0%; 87.8%; 402°; 72°; 29°; 0%; 10°; 26°; 27°; 33°; 36°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:03:36; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 55°; 65°; 40%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 26°; 27°; 33°; 36°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:03:46; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 55°; 65°; 40%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 26°; 27°; 33°; 34°; 127°; 127°; 10474; 15898h; 35°; 75°; 
2022-11-10; 00:03:56; übergangsbetr.;   Brenner Aus  ; 1; 0; 64°; 55°; 65°; 41%; 0%; 0%; 0%; 87.8%; 402°; 72°; 30°; 0%; 10°; 26°; 27°; 33°; 33°; 127°; 127°; 10474; 15898h; 35°; 75°; 
