Date; Time;  [S];  [S]; Zustand [N]; ROST [N]; Kesseltemp [N]; Abgastemp. [N]; Abgas. SW  [N]; KessStellGr [N]; Saugzug   [N]; Zuluftgebl [N]; Einschub [N]; Fuellst.: [N]; Feuerraumt [N]; Puffert.ob [N]; Puffert.un [N]; Puffer Pu. [N]; Außentemp [N]; Vorlauft.1sw [N]; Vorlauft.1 [N]; Vorlauft.2sw [N]; Vorlauft.2 [N]; KTY6_H2 [N]; KTY7_H2 [N]; Brenn.ST [N]; Laufzeit: [N]; Boardtemp. [N]; Die Kesseltemp. soll sein [N]; 
2022-10-13; 10:43:09; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 14°; 15°; 25°; 50%; 0%; 0%; 0%; 99.9%; 173°; 15°; 14°; 0%; 10°; 0°; 18°; 0°; 15°; 127°; 127°; 10461; 15878h; 15°; 75°; 
2022-10-13; 10:43:19; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 14°; 15°; 25°; 50%; 0%; 0%; 0%; 99.9%; 180°; 15°; 14°; 0%; 10°; 0°; 18°; 0°; 15°; 127°; 127°; 10461; 15878h; 15°; 75°; 
2022-10-13; 10:43:29; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 14°; 15°; 25°; 50%; 0%; 0%; 0%; 99.9%; 187°; 15°; 14°; 0%; 10°; 0°; 18°; 0°; 15°; 127°; 127°; 10461; 15878h; 15°; 75°; 
2022-10-13; 10:43:39; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 14°; 15°; 25°; 50%; 0%; 0%; 0%; 99.9%; 194°; 15°; 14°; 0%; 10°; 0°; 18°; 0°; 15°; 127°; 127°; 10461; 15878h; 15°; 75°; 
Date; Time;  [S];  [S]; Zustand [N]; ROST [N]; Kesseltemp [N]; Abgastemp. [N]; Abgas. SW  [N]; KessStellGr [N]; Saugzug   [N]; Zuluftgebl [N]; Einschub [N]; Fuellst.: [N]; Feuerraumt [N]; Puffert.ob [N]; Puffert.un [N]; Puffer Pu. [N]; Außentemp [N]; Vorlauft.1sw [N]; Vorlauft.1 [N]; Vorlauft.2sw [N]; Vorlauft.2 [N]; KTY6_H2 [N]; KTY7_H2 [N]; Brenn.ST [N]; Laufzeit: [N]; Boardtemp. [N]; Die Kesseltemp. soll sein [N]; 
2022-10-13; 10:44:45; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 14°; 16°; 26°; 50%; 0%; 0%; 0%; 99.9%; 232°; 15°; 14°; 0%; 10°; 0°; 18°; 0°; 15°; 127°; 127°; 10461; 15878h; 16°; 75°; 
2022-10-13; 10:44:55; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 14°; 16°; 26°; 50%; 0%; 0%; 0%; 99.9%; 238°; 15°; 14°; 0%; 10°; 0°; 18°; 0°; 15°; 127°; 127°; 10461; 15878h; 16°; 75°; 
2022-10-13; 10:45:05; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 14°; 16°; 26°; 50%; 0%; 0%; 0%; 99.9%; 243°; 15°; 14°; 0%; 10°; 0°; 18°; 0°; 15°; 127°; 127°; 10461; 15878h; 16°; 75°; 
2022-10-13; 10:45:15; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 14°; 16°; 26°; 50%; 0%; 0%; 0%; 99.9%; 248°; 15°; 14°; 0%; 10°; 0°; 18°; 0°; 15°; 127°; 127°; 10461; 15878h; 16°; 75°; 
2022-10-13; 10:45:25; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 14°; 16°; 26°; 50%; 0%; 0%; 0%; 99.9%; 252°; 15°; 14°; 0%; 10°; 0°; 18°; 0°; 15°; 127°; 127°; 10461; 15878h; 16°; 75°; 
2022-10-13; 10:45:35; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 14°; 16°; 26°; 50%; 0%; 0%; 0%; 99.9%; 256°; 15°; 14°; 0%; 10°; 0°; 18°; 0°; 15°; 127°; 127°; 10461; 15878h; 16°; 75°; 
2022-10-13; 10:45:45; Ausgeschaltet ;   Brenner Aus  ; 1; 0; 14°; 16°; 26°; 50%; 0%; 0%; 0%; 99.9%; 261°; 15°; 14°; 0%; 10°; 0°; 18°; 0°; 15°; 127°; 127°; 10461; 15878h; 16°; 75°; 
