Date; Time;  [S];  [S]; Zustand [N]; ROST [N]; Kesseltemp [N]; Abgastemp. [N]; Abgas. SW  [N]; KessStellGr [N]; Saugzug   [N]; Zuluftgebl [N]; Einschub [N]; Fuellst.: [N]; Feuerraumt [N]; Puffert.ob [N]; Puffert.un [N]; Puffer Pu. [N]; Außentemp [N]; Vorlauft.1sw [N]; Vorlauft.1 [N]; Vorlauft.2sw [N]; Vorlauft.2 [N]; KTY6_H2 [N]; KTY7_H2 [N]; Brenn.ST [N]; Laufzeit: [N]; Boardtemp. [N]; Die Kesseltemp. soll sein [N]; 
2022-11-11; 00:00:08; übergangsbetr.;   Brenner Aus  ; 1; 0; 46°; 41°; 51°; 63%; 0%; 0%; 0%; 100.0%; 398°; 50°; 28°; 0%; 1°; 30°; 30°; 37°; 30°; 127°; 127°; 10475; 15900h; 32°; 75°; 
2022-11-11; 00:00:18; übergangsbetr.;   Brenner Aus  ; 1; 0; 46°; 41°; 51°; 63%; 0%; 0%; 0%; 100.0%; 398°; 50°; 28°; 0%; 1°; 30°; 30°; 37°; 30°; 127°; 127°; 10475; 15900h; 32°; 75°; 
2022-11-11; 00:00:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 46°; 41°; 51°; 63%; 0%; 0%; 0%; 100.0%; 398°; 50°; 28°; 0%; 1°; 30°; 30°; 37°; 30°; 127°; 127°; 10475; 15900h; 32°; 75°; 
2022-11-11; 00:00:38; übergangsbetr.;   Brenner Aus  ; 1; 0; 46°; 41°; 51°; 63%; 0%; 0%; 0%; 100.0%; 398°; 50°; 28°; 0%; 1°; 30°; 30°; 37°; 30°; 127°; 127°; 10475; 15900h; 32°; 75°; 
2022-11-11; 00:00:48; übergangsbetr.;   Brenner Aus  ; 1; 0; 46°; 41°; 51°; 62%; 0%; 0%; 0%; 100.0%; 398°; 50°; 28°; 0%; 1°; 30°; 30°; 37°; 30°; 127°; 127°; 10475; 15900h; 32°; 75°; 
2022-11-11; 00:00:58; übergangsbetr.;   Brenner Aus  ; 1; 0; 46°; 41°; 51°; 62%; 0%; 0%; 0%; 100.0%; 398°; 50°; 28°; 0%; 1°; 30°; 30°; 37°; 30°; 127°; 127°; 10475; 15900h; 32°; 75°; 
2022-11-11; 00:01:08; übergangsbetr.;   Brenner Aus  ; 1; 0; 46°; 41°; 51°; 62%; 0%; 0%; 0%; 100.0%; 398°; 50°; 28°; 0%; 1°; 30°; 30°; 37°; 30°; 127°; 127°; 10475; 15900h; 32°; 75°; 
2022-11-11; 00:01:18; übergangsbetr.;   Brenner Aus  ; 1; 0; 46°; 41°; 51°; 62%; 0%; 0%; 0%; 100.0%; 398°; 50°; 28°; 0%; 1°; 30°; 30°; 37°; 29°; 127°; 127°; 10475; 15900h; 32°; 75°; 
2022-11-11; 00:01:28; übergangsbetr.;   Brenner Aus  ; 1; 0; 46°; 41°; 51°; 62%; 0%; 0%; 0%; 100.0%; 398°; 50°; 28°; 0%; 1°; 29°; 30°; 37°; 29°; 127°; 127°; 10475; 15900h; 32°; 75°; 
2022-11-11; 00:01:38; übergangsbetr.;   Brenner Aus  ; 1; 0; 46°; 41°; 51°; 62%; 0%; 0%; 0%; 100.0%; 398°; 50°; 28°; 0%; 1°; 29°; 30°; 37°; 28°; 127°; 127°; 10475; 15900h; 32°; 75°; 
