Date; Time;  [S];  [S]; Zustand [N]; ROST [N]; Kesseltemp [N]; Abgastemp. [N]; Abgas. SW  [N]; KessStellGr [N]; Saugzug   [N]; Zuluftgebl [N]; Einschub [N]; Fuellst.: [N]; Feuerraumt [N]; Puffert.ob [N]; Puffert.un [N]; Puffer Pu. [N]; Außentemp [N]; Vorlauft.1sw [N]; Vorlauft.1 [N]; Vorlauft.2sw [N]; Vorlauft.2 [N]; KTY6_H2 [N]; KTY7_H2 [N]; Brenn.ST [N]; Laufzeit: [N]; Boardtemp. [N]; Die Kesseltemp. soll sein [N]; 
2022-11-16; 00:00:08; übergangsbetr.;    Heizen      ; 1; 0; 77°; 150°; 156°; 100%; 39%; 65%; 95%; 79.5%; 420°; 70°; 24°; 61%; 4°; 31°; 32°; 42°; 43°; 127°; 127°; 10483; 15912h; 34°; 80°; 
2022-11-16; 00:00:18; übergangsbetr.;    Heizen      ; 1; 0; 77°; 150°; 156°; 100%; 39%; 65%; 95%; 79.4%; 420°; 70°; 24°; 61%; 4°; 30°; 32°; 42°; 43°; 127°; 127°; 10483; 15912h; 34°; 80°; 
2022-11-16; 00:00:28; übergangsbetr.;    Heizen      ; 1; 0; 77°; 149°; 156°; 100%; 39%; 65%; 95%; 79.4%; 420°; 70°; 24°; 61%; 4°; 30°; 32°; 42°; 43°; 127°; 127°; 10483; 15912h; 34°; 80°; 
2022-11-16; 00:00:38; übergangsbetr.;    Heizen      ; 1; 0; 77°; 149°; 156°; 100%; 39%; 65%; 95%; 79.4%; 420°; 70°; 24°; 61%; 4°; 30°; 32°; 42°; 43°; 127°; 127°; 10483; 15912h; 34°; 80°; 
2022-11-16; 00:00:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 149°; 156°; 100%; 39%; 65%; 95%; 79.4%; 420°; 70°; 24°; 61%; 4°; 30°; 32°; 42°; 43°; 127°; 127°; 10483; 15912h; 34°; 80°; 
2022-11-16; 00:00:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 149°; 156°; 100%; 39%; 65%; 95%; 79.3%; 420°; 70°; 24°; 61%; 4°; 30°; 32°; 42°; 43°; 127°; 127°; 10483; 15912h; 34°; 80°; 
2022-11-16; 00:01:08; übergangsbetr.;    Heizen      ; 1; 0; 77°; 149°; 156°; 100%; 39%; 65%; 95%; 79.3%; 420°; 70°; 24°; 61%; 4°; 30°; 32°; 42°; 43°; 127°; 127°; 10483; 15912h; 34°; 80°; 
2022-11-16; 00:01:18; übergangsbetr.;    Heizen      ; 1; 0; 77°; 149°; 156°; 100%; 39%; 65%; 95%; 79.3%; 420°; 70°; 24°; 61%; 4°; 30°; 32°; 42°; 42°; 127°; 127°; 10483; 15912h; 34°; 80°; 
2022-11-16; 00:01:28; übergangsbetr.;    Heizen      ; 1; 0; 77°; 149°; 156°; 100%; 39%; 65%; 95%; 79.2%; 420°; 71°; 24°; 61%; 4°; 30°; 32°; 42°; 42°; 127°; 127°; 10483; 15912h; 34°; 80°; 
2022-11-16; 00:01:38; übergangsbetr.;    Heizen      ; 1; 0; 77°; 149°; 156°; 100%; 39%; 65%; 95%; 79.2%; 420°; 71°; 24°; 61%; 4°; 30°; 32°; 42°; 42°; 127°; 127°; 10483; 15912h; 34°; 80°; 
2022-11-16; 00:01:48; übergangsbetr.;    Heizen      ; 1; 0; 77°; 149°; 156°; 100%; 39%; 65%; 95%; 79.2%; 420°; 71°; 24°; 61%; 4°; 30°; 32°; 42°; 42°; 127°; 127°; 10483; 15912h; 34°; 80°; 
2022-11-16; 00:01:58; übergangsbetr.;    Heizen      ; 1; 0; 77°; 149°; 156°; 100%; 39%; 65%; 95%; 79.2%; 420°; 71°; 24°; 61%; 4°; 30°; 32°; 42°; 42°; 127°; 127°; 10483; 15912h; 34°; 80°; 
