Date; Time;  [S];  [S]; Zustand [N]; ROST [N]; Kesseltemp [N]; Abgastemp. [N]; Abgas. SW  [N]; KessStellGr [N]; Saugzug   [N]; Zuluftgebl [N]; Einschub [N]; Fuellst.: [N]; Feuerraumt [N]; Puffert.ob [N]; Puffert.un [N]; Puffer Pu. [N]; Außentemp [N]; Vorlauft.1sw [N]; Vorlauft.1 [N]; Vorlauft.2sw [N]; Vorlauft.2 [N]; KTY6_H2 [N]; KTY7_H2 [N]; Brenn.ST [N]; Laufzeit: [N]; Boardtemp. [N]; Die Kesseltemp. soll sein [N]; 
2022-11-07; 00:00:09; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 68°; 168°; 80%; 0%; 0%; 0%; 87.1%; 403°; 74°; 64°; 0%; 5°; 29°; 29°; 36°; 36°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:00:19; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 68°; 168°; 80%; 0%; 0%; 0%; 87.1%; 403°; 74°; 64°; 0%; 5°; 28°; 29°; 36°; 36°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:00:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 68°; 168°; 80%; 0%; 0%; 0%; 87.1%; 403°; 74°; 64°; 0%; 5°; 28°; 29°; 36°; 36°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:00:39; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 68°; 169°; 80%; 0%; 0%; 0%; 87.1%; 403°; 74°; 63°; 0%; 5°; 28°; 29°; 36°; 36°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:00:49; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 67°; 169°; 79%; 0%; 0%; 0%; 87.1%; 403°; 74°; 63°; 0%; 5°; 28°; 29°; 36°; 36°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:00:59; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 67°; 169°; 79%; 0%; 0%; 0%; 87.1%; 403°; 74°; 63°; 0%; 5°; 28°; 29°; 36°; 36°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:01:09; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 67°; 169°; 79%; 0%; 0%; 0%; 87.1%; 403°; 74°; 63°; 0%; 5°; 28°; 29°; 36°; 36°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:01:19; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 67°; 170°; 79%; 0%; 0%; 0%; 87.1%; 403°; 74°; 62°; 0%; 5°; 28°; 29°; 36°; 36°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:01:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 67°; 170°; 79%; 0%; 0%; 0%; 87.1%; 403°; 74°; 62°; 0%; 5°; 28°; 29°; 36°; 36°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:01:39; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 67°; 170°; 79%; 0%; 0%; 0%; 87.1%; 403°; 74°; 62°; 0%; 5°; 28°; 29°; 36°; 36°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:01:49; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 67°; 170°; 79%; 0%; 0%; 0%; 87.1%; 403°; 74°; 62°; 0%; 5°; 28°; 29°; 36°; 36°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:01:59; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 67°; 171°; 79%; 0%; 0%; 0%; 87.1%; 403°; 74°; 62°; 0%; 5°; 28°; 29°; 36°; 36°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:02:09; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 67°; 171°; 79%; 0%; 0%; 0%; 87.1%; 403°; 74°; 62°; 0%; 5°; 28°; 28°; 36°; 36°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:02:19; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 67°; 171°; 79%; 0%; 0%; 0%; 87.1%; 403°; 74°; 62°; 0%; 5°; 28°; 28°; 36°; 36°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:02:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 67°; 171°; 79%; 0%; 0%; 0%; 87.1%; 403°; 74°; 61°; 0%; 5°; 28°; 28°; 36°; 35°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:02:39; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 67°; 172°; 79%; 0%; 0%; 0%; 87.1%; 403°; 74°; 61°; 0%; 5°; 28°; 28°; 36°; 35°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:02:49; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 67°; 172°; 79%; 0%; 0%; 0%; 87.1%; 403°; 74°; 61°; 0%; 5°; 28°; 29°; 36°; 35°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:02:59; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 67°; 172°; 79%; 0%; 0%; 0%; 87.1%; 402°; 74°; 60°; 0%; 5°; 28°; 29°; 36°; 35°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:03:09; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 67°; 172°; 79%; 0%; 0%; 0%; 87.1%; 403°; 74°; 60°; 0%; 5°; 28°; 29°; 36°; 36°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:03:19; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 67°; 173°; 79%; 0%; 0%; 0%; 87.1%; 402°; 74°; 60°; 0%; 5°; 28°; 28°; 36°; 36°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:03:29; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 67°; 173°; 79%; 0%; 0%; 0%; 87.1%; 402°; 74°; 60°; 0%; 5°; 28°; 29°; 36°; 36°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:03:39; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 67°; 173°; 79%; 0%; 0%; 0%; 87.1%; 402°; 74°; 60°; 0%; 5°; 28°; 29°; 36°; 36°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:03:49; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 67°; 173°; 79%; 0%; 0%; 0%; 87.1%; 402°; 74°; 60°; 0%; 5°; 28°; 29°; 36°; 36°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:03:59; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 67°; 174°; 79%; 0%; 0%; 0%; 87.1%; 402°; 74°; 60°; 0%; 5°; 28°; 28°; 36°; 36°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:04:09; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 67°; 174°; 79%; 0%; 0%; 0%; 87.1%; 402°; 74°; 59°; 0%; 5°; 28°; 28°; 36°; 36°; 127°; 127°; 10465; 15884h; 32°; 75°; 
2022-11-07; 00:04:19; übergangsbetr.;   Brenner Aus  ; 1; 0; 72°; 67°; 174°; 79%; 0%; 0%; 0%; 87.1%; 402°; 74°; 59°; 0%; 5°; 28°; 28°; 36°; 36°; 127°; 127°; 10465; 15884h; 32°; 75°; 
